epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.6616270668309288,0.8465918742242406,0.5019838679106207,0.5081717112106792,3e-05
2,0.5234919101444643,1.4100278957945402,0.6064043973632668,0.6153621703897829,3e-05
3,0.399192717052703,1.7547170141192734,0.6589958511467262,0.7209844570923449,3e-05
4,0.33170268574433864,2.031076347241636,0.548623717962218,0.580578545590138,3e-05
5,0.2674615253546506,1.4166066976355725,0.6757386854242572,0.7102567696249837,3e-05
6,0.2286964422003385,1.11673841663621,0.7618663521681445,0.8017068703296407,3e-05
7,0.19663452753845193,4.061604915950142,0.5983552008087105,0.6484798173196803,3e-05
8,0.18547478780716536,3.3711092662615854,0.581393340774593,0.6177823825345029,3e-05
9,0.14540642702110426,1.9887248101781627,0.6734726112503422,0.7108995622212756,1.5e-05
10,0.1307491800435686,2.818525351461817,0.6065518185455847,0.6577391242626437,1.5e-05
