,0
TOTUSJH,0.14549306
LOG_TOTUSJH,0.11799444
TOTUSJH_CHANGE_6h,0.05616135
LOG_TOTPOT,0.03940561
TOTPOT,0.039102428
day_of_year,0.03262346
LOG_USFLUX,0.03130775
MEANSHR,0.02923746
USFLUX,0.028604222
TOTUSJH_CHANGE_12h,0.02814661
TOTUSJH_ROLLSTD_12h,0.026884893
TOTPOT_RELCHANGE_1h,0.022946956
MEANPOT,0.02282098
TOTPOT_RELCHANGE_12h,0.018079054
LOG_MEANPOT,0.017236145
TOTPOT_CHANGE_12h,0.013700845
USFLUX_ROLLSTD_12h,0.013692158
TOTUSJH_ROLLSTD_6h,0.011468446
MEANSHR_CHANGE_12h,0.0112406025
TOTPOT_CHANGE_6h,0.010372049
