,0
TOTUSJH_ROLLSTD_6h,0.13353096
USFLUX,0.07689279
TOTPOT_ROLLSTD_3h,0.07396141
LOG_USFLUX,0.061223917
LOG_TOTUSJH,0.052507833
TOTUSJH_ROLLSTD_12h,0.041125387
MEANSHR,0.03275602
day_of_year,0.032352313
TOTUSJH,0.03147249
LOG_MEANPOT,0.02373576
TOTPOT_ROLLSTD_12h,0.022973115
MEANPOT,0.021515844
TOTUSJH_CHANGE_6h,0.01914593
TOTPOT_RELCHANGE_1h,0.018963093
TOTPOT_RELCHANGE_12h,0.018788235
TOTUSJH_CHANGE_12h,0.017072031
USFLUX_ROLLSTD_12h,0.016359735
TOTUSJH_RELCHANGE_12h,0.011986903
MEANSHR_ROLLSTD_3h,0.011360547
MEANPOT_ROLLSTD_12h,0.010522225
TOTUSJH_ROLLSTD_1h,0.010468239
TOTPOT,0.010367147
TOTPOT_CHANGE_6h,0.010282356
TOTPOT_CHANGE_12h,0.0098222215
USFLUX_CHANGE_6h,0.009590925
LOG_TOTPOT,0.0090552
MEANPOT_RELCHANGE_3h,0.008204109
TOTPOT_ROLLSTD_6h,0.008162768
MEANSHR_RELCHANGE_12h,0.008011891
MEANPOT_CHANGE_3h,0.0074558505
TOTPOT_CHANGE_1h,0.0073439414
USFLUX_RELCHANGE_12h,0.007174533
TOTPOT_RELCHANGE_6h,0.00717294
MEANSHR_ROLLSTD_12h,0.006959703
MEANSHR_CHANGE_1h,0.0066968165
TOTPOT_ROLLSTD_1h,0.006547091
MEANSHR_CHANGE_12h,0.0064080446
USFLUX_CHANGE_12h,0.0061502866
USFLUX_RELCHANGE_6h,0.0061253766
TOTUSJH_ROLLSTD_3h,0.0059357556
TOTUSJH_RELCHANGE_6h,0.005917684
TOTPOT_RELCHANGE_3h,0.0059029153
MEANSHR_ROLLSTD_6h,0.0057047876
MEANPOT_RELCHANGE_12h,0.005432493
MEANPOT_ROLLSTD_6h,0.005408987
MEANPOT_CHANGE_12h,0.0052306466
TOTUSJH_CHANGE_1h,0.005186465
USFLUX_CHANGE_3h,0.0046768286
TOTUSJH_RELCHANGE_3h,0.004574873
MEANPOT_RELCHANGE_1h,0.004437308
observation_hour,0.0044372263
USFLUX_CHANGE_1h,0.004327381
MEANPOT_ROLLSTD_3h,0.003999959
USFLUX_RELCHANGE_3h,0.0039939643
MEANPOT_RELCHANGE_6h,0.003846301
USFLUX_ROLLSTD_6h,0.0035705774
TOTUSJH_RELCHANGE_1h,0.0035259721
MEANPOT_ROLLSTD_1h,0.0035003626
MEANPOT_CHANGE_6h,0.0033658866
TOTPOT_CHANGE_3h,0.0030183906
MEANSHR_ROLLSTD_1h,0.0028470934
USFLUX_ROLLSTD_3h,0.002811181
MEANSHR_CHANGE_6h,0.0024596883
USFLUX_RELCHANGE_1h,0.0022771778
MEANSHR_RELCHANGE_6h,0.002118484
MEANSHR_CHANGE_3h,0.0020875682
USFLUX_ROLLSTD_1h,0.0020124512
MEANSHR_RELCHANGE_1h,0.0019981724
TOTUSJH_CHANGE_3h,0.0018717493
MEANPOT_CHANGE_1h,0.0016392726
MEANSHR_RELCHANGE_3h,0.0016364033
